vd_mesadesc,vd_localizacao,itm,trn,trn_desc,prefixo,tipo,tipovenda,ano,mes,trn_dtgerencial,usr_lancou,prd,prd_desc,grp_desc,loc_desc,qtd,desconto,valorfinal,custo,itm_obs,comandaorigem,itemorigem
1533,,14,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,68,Isca de Peixe Empanado,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"79,95",,C2 blusa branca de renda,1765,
1533,,15,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,86,Água sem Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,305",C2 blusa branca de renda|Copo com gelo,1765,
1534,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Phelipe,82,Pão com Filé Mignon.,Sanduíches,Cozinha 1,1,,"48,95",,C1 camisa da italia amarela,,
1534,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Phelipe,85,Água com Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,5",C1|Limão espremido|Copo com gelo,,
1535,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,650,Baldinho Spaten 330ml,Baldes,Baldes,2,,"143,4",,f5,,
1537,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,118,Red Bull Zero 250ml,Bebidas Não Alcoólicas,Bar,3,,"47,85","22,95",Zona 2|Tradicional,,
1537,,4,271,,,venda integral,,2025,2025-12,2025-12-15,L.Almeida,218,Garrafa Licor Don Luiz,Garrafas,Shot e Dose,1,,"240,95",,,,
1601,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Debora,563,[DD] Moscow Mule,Dose Dupla,Montados,1,,"28,95",,,,
1602,,1,271,,,venda integral,,2025,2025-12,2025-12-15,L.Almeida,597,[DD] Original 300ml,Dose Dupla,Bar,3,,"38,85",,,,
1603,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Salles,120,Spaten 330ml,Cervejas,Bar,1,,"11,95","4,924",Buscar,,
1603,,2,271,,,venda integral,,2025,2025-12,2025-12-15,L.Almeida,120,Spaten 330ml,Cervejas,Bar,1,,"11,95","4,924",F5,,
1603,,3,271,,,venda integral,,2025,2025-12,2025-12-15,L.Almeida,654,Trident,Pegue e Pague,Baldes,1,,"7,95",,f5,,
1603,,4,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,65,Filé com Gorgonzola,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 1,1,,"139,95",,,,
1603,,5,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,120,Spaten 330ml,Cervejas,Bar,1,,"11,95","4,924",F6 camisa social branca,,
1605,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,125,Baldinho Stella Artois 4Un. 600mL,Baldes,Baldes,1,,"79,8","30,172",,,
1605,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,410,Parmegiana de Frango,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"59,95",,Mesa D1,,
1605,,3,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,327,Stella Artois 600ml,Cervejas,Bar,1,,"19,95",,D1,,
1605,,4,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,86,Água sem Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,305",D1,,
1605,,5,271,,,venda integral,,2025,2025-12,2025-12-15,Salles,122,Stella Artois 330ml Pure Gold,Cervejas,Bar,1,,"13,95","5,698",D1,,
1605,,6,271,,,venda integral,,2025,2025-12,2025-12-15,Salles,122,Stella Artois 330ml Pure Gold,Cervejas,Bar,1,,"13,95","5,698",D1,,
1510,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,597,[DD] Original 300ml,Dose Dupla,Bar,3,,"38,85",,,,
1510,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,68,Isca de Peixe Empanado,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"79,95",,F5 zona 2,,
1614,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,219,Corona 600mL,Cervejas,Bar,2,,"45,9",18,f5,,
1614,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,218,Garrafa Licor Don Luiz,Garrafas,Shot e Dose,1,,"240,95",,F6,,
1614,,4,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,85,Água com Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,5",,,
1607,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,620,Tabaco Selva Unidade,Pegue e Pague,Baldes,1,,3,,,,
1607,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,318,Baldinho Original 4Un. 600ml,Baldes,Baldes,1,,"75,8","28,954",,,
1609,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,597,[DD] Original 300ml,Dose Dupla,Bar,2,,"25,9",,,,
1609,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Phelipe,86,Água sem Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,305",F6 zona 2 camisa branca e short marrom em pé|Copo com gelo,,
1608,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,318,Baldinho Original 4Un. 600ml,Baldes,Baldes,1,,"75,8","28,954",camisa e 2 copos,,
1611,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,218,Garrafa Licor Don Luiz,Garrafas,Shot e Dose,1,,"240,95",,,,
1613,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,650,Baldinho Spaten 330ml,Baldes,Baldes,1,,"71,7",,,,
1616,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,105,Guaraná Antártica Lata,Bebidas Não Alcoólicas,Bar,1,,"7,95","2,478",Vestido preto com detalhes brancos|Copo com gelo|Laranja,,
1620,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,597,[DD] Original 300ml,Dose Dupla,Bar,3,,"38,85",,,,
1617,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,121,Spaten 600ml,Cervejas,Bar,2,,"37,9","14,396",,,
1617,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,275,Porção de Pastel Misto,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"49,95",,,,
1619,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,63,Croquete de Carne 8un,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"49,95",,F2 zona 2,,
1619,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,597,[DD] Original 300ml,Dose Dupla,Bar,3,,"38,85",,,,
1621,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,597,[DD] Original 300ml,Dose Dupla,Bar,3,,"38,85",,,,
1621,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Phelipe,274,Porção de Pastel de Carne,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"49,95",,F3 zona 2,,
1622,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,274,Porção de Pastel de Carne,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"49,95",,F2 zona 2,,
1622,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,86,Água sem Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,305",F3|Limão espremido,,
1627,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Debora,597,[DD] Original 300ml,Dose Dupla,Bar,3,,"38,85",,,,
1627,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Debora,549,[DD] Caipirinha Limão,Dose Dupla,Montados,1,,"26,95",,,,
1627,,3,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,549,[DD] Caipirinha Limão,Dose Dupla,Montados,1,,"26,95",,bistrô A1,,
1625,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Salles,121,Spaten 600ml,Cervejas,Bar,2,,"37,9","14,396",,,
